uid,username,followers_count,category_tid,category_name,last_video_date,video_count_12m,content_type,collected_at,source,data_quality
100040,动画UP_040,147792,1,动画,2025-09-12,127,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100041,动画UP_041,38968,1,动画,2025-04-14,173,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100042,动画UP_042,37931,1,动画,2025-01-10,53,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100043,动画UP_043,14591,1,动画,2025-07-07,112,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100044,动画UP_044,84770,1,动画,2025-02-13,176,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100045,动画UP_045,35302,1,动画,2025-07-30,169,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100046,动画UP_046,33002,1,动画,2025-07-25,189,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100047,动画UP_047,16500,1,动画,2025-02-13,10,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100048,动画UP_048,331195,1,动画,2025-10-07,167,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100049,动画UP_049,14445,1,动画,2025-05-22,61,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100050,动画UP_050,15227,1,动画,2025-09-13,17,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100051,动画UP_051,39551,1,动画,2025-08-23,144,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100052,动画UP_052,311487,1,动画,2025-05-25,157,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100053,动画UP_053,131545,1,动画,2025-06-06,65,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100054,动画UP_054,11513,1,动画,2025-02-05,130,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100055,动画UP_055,279005,1,动画,2025-05-29,156,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100056,动画UP_056,9678,1,动画,2024-11-30,198,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100057,动画UP_057,1367706,1,动画,2025-04-24,152,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100058,动画UP_058,100780,1,动画,2024-12-02,132,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100059,动画UP_059,142434,1,动画,2025-09-24,116,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100060,动画UP_060,146893,1,动画,2025-08-08,76,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100061,动画UP_061,62411,1,动画,2025-10-02,143,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100062,动画UP_062,658905,1,动画,2025-01-24,175,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100063,动画UP_063,17205,1,动画,2025-05-11,27,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100064,动画UP_064,34926,1,动画,2025-09-09,15,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100065,动画UP_065,66068,1,动画,2025-03-10,6,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100066,动画UP_066,53631,1,动画,2024-11-05,152,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100067,动画UP_067,91940,1,动画,2025-07-05,170,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100068,动画UP_068,146859,1,动画,2024-12-18,31,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100069,动画UP_069,435834,1,动画,2025-07-22,89,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100070,动画UP_070,68377,1,动画,2025-09-11,121,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100071,动画UP_071,16415,1,动画,2025-02-13,13,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100072,动画UP_072,33952,1,动画,2024-12-03,182,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100073,动画UP_073,143218,1,动画,2025-02-16,55,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100074,动画UP_074,91767,1,动画,2025-02-14,66,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100075,动画UP_075,12791,1,动画,2025-09-01,174,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100076,动画UP_076,65977,1,动画,2025-10-02,166,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100077,动画UP_077,10101,1,动画,2025-07-10,24,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100078,动画UP_078,25334,1,动画,2025-05-06,187,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100079,动画UP_079,576586,1,动画,2025-10-19,50,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100080,动画UP_080,92155,1,动画,2025-11-01,84,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100081,动画UP_081,8380,1,动画,2024-12-21,163,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100082,动画UP_082,27292,1,动画,2025-06-19,66,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100083,动画UP_083,50559,1,动画,2025-08-05,200,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100084,动画UP_084,76405,1,动画,2025-10-02,22,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100085,动画UP_085,195504,1,动画,2025-08-08,174,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100086,动画UP_086,67936,1,动画,2025-07-26,34,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100087,动画UP_087,68544,1,动画,2025-02-06,33,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100088,动画UP_088,191615,1,动画,2025-06-01,42,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100089,动画UP_089,21118,1,动画,2025-09-14,32,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100090,动画UP_090,14336,1,动画,2025-06-22,170,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100091,动画UP_091,180891,1,动画,2025-10-25,34,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100092,动画UP_092,10039,1,动画,2025-09-13,68,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100093,动画UP_093,990230,1,动画,2025-01-21,177,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100094,动画UP_094,2513345,1,动画,2025-03-23,193,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100095,动画UP_095,67969,1,动画,2025-03-27,180,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100096,动画UP_096,11207,1,动画,2025-07-10,26,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100097,动画UP_097,51865,1,动画,2025-06-08,153,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100098,动画UP_098,113536,1,动画,2025-06-27,188,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100099,动画UP_099,58014,1,动画,2025-05-27,102,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100100,动画UP_100,86052,1,动画,2025-10-20,21,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100101,动画UP_101,19260,1,动画,2025-09-09,147,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100102,动画UP_102,706488,1,动画,2025-08-14,108,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100103,动画UP_103,710467,1,动画,2025-07-13,97,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100104,动画UP_104,42589,1,动画,2025-07-12,126,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100105,动画UP_105,22180,1,动画,2025-09-13,12,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100106,动画UP_106,297989,1,动画,2025-02-22,101,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100107,动画UP_107,28211,1,动画,2025-03-24,110,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100108,动画UP_108,8473,1,动画,2025-09-11,183,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100109,动画UP_109,89284,1,动画,2025-03-21,14,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100110,动画UP_110,44159,1,动画,2025-06-10,48,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100111,动画UP_111,21967,1,动画,2025-05-08,165,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100112,动画UP_112,218089,1,动画,2025-05-22,111,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100113,动画UP_113,48684,1,动画,2025-05-01,46,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100114,动画UP_114,100257,1,动画,2025-09-20,7,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100115,动画UP_115,31252,1,动画,2025-03-31,177,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100116,动画UP_116,42993,1,动画,2025-06-19,138,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100117,动画UP_117,238012,1,动画,2025-09-02,17,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100118,动画UP_118,138280,1,动画,2025-02-06,160,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100119,动画UP_119,112458,1,动画,2025-07-11,49,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100120,动画UP_120,203330,1,动画,2025-03-05,118,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100121,动画UP_121,23015,1,动画,2025-05-19,188,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100122,动画UP_122,120055,1,动画,2025-08-18,98,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100123,动画UP_123,103775,1,动画,2025-10-07,52,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100124,动画UP_124,100653,1,动画,2025-07-28,54,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100125,动画UP_125,198731,1,动画,2025-05-29,165,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100126,动画UP_126,233863,1,动画,2024-11-13,133,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100127,动画UP_127,18088,1,动画,2024-12-30,78,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100128,动画UP_128,77051,1,动画,2025-07-23,55,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100129,动画UP_129,28587,1,动画,2025-08-28,54,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100130,动画UP_130,36653,1,动画,2024-12-11,168,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100131,动画UP_131,56828,1,动画,2025-01-17,185,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100132,动画UP_132,545765,1,动画,2025-05-19,121,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100133,动画UP_133,50193,1,动画,2025-08-31,54,动画创作,2025-11-05 15:19:23,模拟数据,simulated
100134,音乐UP_001,340229,3,音乐,2025-04-08,74,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100135,音乐UP_002,63793,3,音乐,2024-12-10,124,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100136,音乐UP_003,34245,3,音乐,2024-12-11,140,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100137,音乐UP_004,53916,3,音乐,2025-06-22,119,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100138,音乐UP_005,172799,3,音乐,2025-03-29,106,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100139,音乐UP_006,85938,3,音乐,2025-09-20,44,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100140,音乐UP_007,92933,3,音乐,2025-04-23,67,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100141,音乐UP_008,114985,3,音乐,2025-03-24,162,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100142,音乐UP_009,163302,3,音乐,2025-08-17,89,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100143,音乐UP_010,147341,3,音乐,2024-12-04,74,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100144,音乐UP_011,61114,3,音乐,2024-11-27,26,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100145,音乐UP_012,21296,3,音乐,2025-09-03,146,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100146,音乐UP_013,40144,3,音乐,2025-10-02,189,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100147,音乐UP_014,300278,3,音乐,2025-09-26,152,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100148,音乐UP_015,21266,3,音乐,2025-01-22,176,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100149,音乐UP_016,16115,3,音乐,2025-01-23,170,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100150,音乐UP_017,37378,3,音乐,2025-03-20,113,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100151,音乐UP_018,170062,3,音乐,2025-08-29,138,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100152,音乐UP_019,1897,3,音乐,2025-06-11,127,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100153,音乐UP_020,17342,3,音乐,2024-12-06,26,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100154,音乐UP_021,48176,3,音乐,2025-02-17,19,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100155,音乐UP_022,309506,3,音乐,2025-09-09,44,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100156,音乐UP_023,11743,3,音乐,2025-02-24,81,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100157,音乐UP_024,33315,3,音乐,2024-11-17,11,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100158,音乐UP_025,58967,3,音乐,2024-11-15,94,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100159,音乐UP_026,223882,3,音乐,2025-05-09,97,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100160,音乐UP_027,75844,3,音乐,2024-11-06,126,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100161,音乐UP_028,110353,3,音乐,2025-09-19,58,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100162,音乐UP_029,8756,3,音乐,2025-10-13,40,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100163,音乐UP_030,89066,3,音乐,2025-06-04,57,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100164,音乐UP_031,47187,3,音乐,2024-12-31,61,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100165,音乐UP_032,33139,3,音乐,2025-04-11,148,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100166,音乐UP_033,159795,3,音乐,2025-01-01,129,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100167,音乐UP_034,101987,3,音乐,2025-08-09,163,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100168,音乐UP_035,360581,3,音乐,2025-08-03,82,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100169,音乐UP_036,4376,3,音乐,2025-06-21,171,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100170,音乐UP_037,89519,3,音乐,2025-07-05,107,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100171,音乐UP_038,35624,3,音乐,2025-02-25,102,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100172,音乐UP_039,155381,3,音乐,2025-10-06,46,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100173,音乐UP_040,41031,3,音乐,2025-10-23,14,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100174,音乐UP_041,228058,3,音乐,2025-03-01,16,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100175,音乐UP_042,262136,3,音乐,2025-05-11,175,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100176,音乐UP_043,16290,3,音乐,2024-11-29,121,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100177,音乐UP_044,202018,3,音乐,2025-06-29,75,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100178,音乐UP_045,43864,3,音乐,2024-12-14,26,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100179,音乐UP_046,42971,3,音乐,2025-05-23,120,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100180,音乐UP_047,47215,3,音乐,2025-08-09,46,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100181,音乐UP_048,49022,3,音乐,2025-10-14,10,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100182,音乐UP_049,19341,3,音乐,2025-09-15,35,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100183,音乐UP_050,77271,3,音乐,2025-03-11,38,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100184,音乐UP_051,49352,3,音乐,2024-11-16,159,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100185,音乐UP_052,19523,3,音乐,2024-12-25,57,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100186,音乐UP_053,42934,3,音乐,2025-03-08,197,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100187,音乐UP_054,42085,3,音乐,2025-06-28,194,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100188,音乐UP_055,250614,3,音乐,2025-04-17,111,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100189,音乐UP_056,27891,3,音乐,2025-09-17,4,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100190,音乐UP_057,13094,3,音乐,2025-10-12,73,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100191,音乐UP_058,7908,3,音乐,2025-05-05,108,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100192,音乐UP_059,433936,3,音乐,2025-03-17,160,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100193,音乐UP_060,60085,3,音乐,2025-03-17,48,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100194,音乐UP_061,10603,3,音乐,2025-10-16,180,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100195,音乐UP_062,9558,3,音乐,2025-03-16,108,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100196,音乐UP_063,84987,3,音乐,2025-02-10,114,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100197,音乐UP_064,19614,3,音乐,2025-07-10,134,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100198,音乐UP_065,40018,3,音乐,2025-10-01,42,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100199,音乐UP_066,23464,3,音乐,2025-10-01,160,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100200,音乐UP_067,32662,3,音乐,2025-08-07,49,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100201,音乐UP_068,59160,3,音乐,2025-03-22,79,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100202,音乐UP_069,103952,3,音乐,2025-02-24,77,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100203,音乐UP_070,35900,3,音乐,2025-06-12,91,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100204,音乐UP_071,119921,3,音乐,2024-12-09,107,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100205,音乐UP_072,8901,3,音乐,2025-01-17,19,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100206,音乐UP_073,29479,3,音乐,2025-08-13,154,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100207,音乐UP_074,262606,3,音乐,2025-05-20,53,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100208,音乐UP_075,56301,3,音乐,2025-05-29,72,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100209,音乐UP_076,114190,3,音乐,2025-10-12,154,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100210,音乐UP_077,104160,3,音乐,2025-03-01,14,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100211,音乐UP_078,39584,3,音乐,2025-06-21,193,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100212,音乐UP_079,13257,3,音乐,2024-11-29,72,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100213,音乐UP_080,2218,3,音乐,2025-05-22,174,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100214,音乐UP_081,27585,3,音乐,2025-05-03,78,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100215,音乐UP_082,142235,3,音乐,2024-12-25,74,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100216,音乐UP_083,1511,3,音乐,2025-04-12,8,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100217,音乐UP_084,18432,3,音乐,2024-11-28,9,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100218,音乐UP_085,50945,3,音乐,2025-03-11,44,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100219,音乐UP_086,18719,3,音乐,2025-05-19,72,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100220,音乐UP_087,7995,3,音乐,2025-02-03,176,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100221,音乐UP_088,35878,3,音乐,2025-04-23,143,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100222,音乐UP_089,34569,3,音乐,2024-11-07,174,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100223,音乐UP_090,238623,3,音乐,2025-07-28,172,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100224,音乐UP_091,29052,3,音乐,2025-06-01,47,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100225,音乐UP_092,369048,3,音乐,2025-03-06,170,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100226,音乐UP_093,387941,3,音乐,2025-10-06,7,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100227,音乐UP_094,480141,3,音乐,2025-03-30,36,音乐制作,2025-11-05 15:19:23,模拟数据,simulated
100228,游戏UP_001,17987,4,游戏,2025-06-14,23,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100229,游戏UP_002,120366,4,游戏,2025-07-17,69,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100230,游戏UP_003,42213,4,游戏,2025-05-21,11,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100231,游戏UP_004,152188,4,游戏,2025-04-20,124,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100232,游戏UP_005,66186,4,游戏,2025-09-02,173,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100233,游戏UP_006,322888,4,游戏,2024-12-05,163,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100234,游戏UP_007,47604,4,游戏,2025-05-13,146,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100235,游戏UP_008,260688,4,游戏,2025-03-02,154,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100236,游戏UP_009,29822,4,游戏,2024-11-15,159,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100237,游戏UP_010,11571,4,游戏,2025-03-05,70,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100238,游戏UP_011,29290,4,游戏,2025-01-29,119,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100239,游戏UP_012,49444,4,游戏,2025-02-15,194,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100240,游戏UP_013,251841,4,游戏,2025-06-03,160,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100241,游戏UP_014,63110,4,游戏,2024-12-21,130,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100242,游戏UP_015,114997,4,游戏,2025-08-14,8,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100243,游戏UP_016,12565,4,游戏,2025-02-23,169,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100244,游戏UP_017,142414,4,游戏,2024-11-29,98,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100245,游戏UP_018,116026,4,游戏,2025-09-01,61,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
100246,游戏UP_019,163046,4,游戏,2025-04-12,130,游戏实况,2025-11-05 15:19:23,模拟数据,simulated
